topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,auc,ap,ring_recall
star,2.0,1,848,1854,42,sage,0.55625,0.08585780928854,0.0
star,2.0,1,848,1854,42,mlp,0.47430555555555554,0.062562466529685,0.0
star,2.0,2,848,1854,42,gcn,0.4444444444444444,0.050490033553995214,0.0
star,2.0,2,848,1854,42,sage,0.5152777777777777,0.06682632225392013,0.0
star,2.0,2,848,1854,42,mlp,0.48194444444444445,0.060808619266572425,0.0
star,2.0,3,848,1854,42,gcn,0.6041666666666666,0.07318089833678908,0.0
star,2.0,3,848,1854,42,sage,0.47430555555555554,0.05439368004021123,0.0
star,2.0,3,848,1854,42,mlp,0.5041666666666667,0.0602579416493762,0.0
star,2.0,4,848,1854,42,gcn,0.6368055555555555,0.08078812188443778,0.0
star,2.0,4,848,1854,42,sage,0.6097222222222223,0.09152737718540975,0.0
star,2.0,4,848,1854,42,mlp,0.4583333333333333,0.05100103564397515,0.0
cycle,0.0,0,848,1692,48,gcn,0.8777777777777778,0.6160931130193426,0.6666666666666666
cycle,0.0,0,848,1692,48,sage,0.7673611111111112,0.4106751847360862,0.3333333333333333
cycle,0.0,0,848,1692,48,mlp,0.41180555555555554,0.06796160919971604,0.0
cycle,0.0,1,848,1692,48,gcn,0.9833333333333334,0.843827160493827,0.6666666666666666
cycle,0.0,1,848,1692,48,sage,0.6604166666666667,0.34042256706906926,0.0
cycle,0.0,1,848,1692,48,mlp,0.625,0.09240559276612408,0.0
cycle,0.0,2,848,1692,48,gcn,0.96875,0.4765378140378141,0.6666666666666666
cycle,0.0,2,848,1692,48,sage,0.5708333333333333,0.20481408269888457,0.0
cycle,0.0,2,848,1692,48,mlp,0.41597222222222224,0.04838554634421223,0.0
cycle,0.0,3,848,1692,48,gcn,0.9625,0.7084485407066052,0.8333333333333334
cycle,0.0,3,848,1692,48,sage,0.7826388888888889,0.14535610940030486,0.16666666666666666
cycle,0.0,3,848,1692,48,mlp,0.5791666666666667,0.13920415945553782,0.0
cycle,0.0,4,848,1692,48,gcn,0.9506944444444445,0.7327550871029131,0.8333333333333334
cycle,0.0,4,848,1692,48,sage,0.8145833333333333,0.1728253543590499,0.0
cycle,0.0,4,848,1692,48,mlp,0.3604166666666667,0.043719716953291195,0.0
cycle,0.5,0,848,1740,48,gcn,0.8159722222222222,0.2725862521317067,0.16666666666666666
cycle,0.5,0,848,1740,48,sage,0.76875,0.1274920480810205,0.16666666666666666
cycle,0.5,0,848,1740,48,mlp,0.7736111111111111,0.2070963544859127,0.0
cycle,0.5,1,848,1740,48,gcn,0.9381944444444443,0.8275401069518717,0.5
cycle,0.5,1,848,1740,48,sage,0.6,0.10493445298372098,0.0
cycle,0.5,1,848,1740,48,mlp,0.5395833333333333,0.09255155915303201,0.0
cycle,0.5,2,848,1740,48,gcn,0.89375,0.4376325078939458,0.3333333333333333
cycle,0.5,2,848,1740,48,sage,0.3625,0.04323502258403496,0.0
cycle,0.5,2,848,1740,48,mlp,0.5326388888888889,0.06116824923206331,0.0
cycle,0.5,3,848,1740,48,gcn,0.9180555555555555,0.434865340420896,0.6666666666666666
cycle,0.5,3,848,1740,48,sage,0.8388888888888889,0.4034244883756702,0.3333333333333333
cycle,0.5,3,848,1740,48,mlp,0.6527777777777778,0.19202018982177163,0.0
cycle,0.5,4,848,1740,48,gcn,0.7909722222222222,0.20405075526640243,0.0
cycle,0.5,4,848,1740,48,sage,0.5270833333333333,0.05921688149062989,0.0
cycle,0.5,4,848,1740,48,mlp,0.43472222222222223,0.04908442141498516,0.0
cycle,1.0,0,848,1788,48,gcn,0.7340277777777777,0.13801529040870125,0.16666666666666666
cycle,1.0,0,848,1788,48,sage,0.7125,0.152403201758292,0.0
cycle,1.0,0,848,1788,48,mlp,0.6340277777777777,0.11293333040900488,0.0
cycle,1.0,1,848,1788,48,gcn,0.6854166666666667,0.10951717456261234,0.0
cycle,1.0,1,848,1788,48,sage,0.5048611111111111,0.05959127590045997,0.0
cycle,1.0,1,848,1788,48,mlp,0.27152777777777776,0.039910295164786475,0.0
cycle,1.0,2,848,1788,48,gcn,0.6472222222222221,0.21500937940129491,0.0
cycle,1.0,2,848,1788,48,sage,0.4,0.04631636418036317,0.0
cycle,1.0,2,848,1788,48,mlp,0.45625,0.05272712679793996,0.0
cycle,1.0,3,848,1788,48,gcn,0.8131944444444446,0.19228499027247126,0.0
cycle,1.0,3,848,1788,48,sage,0.66875,0.10481105153671921,0.0
cycle,1.0,3,848,1788,48,mlp,0.5111111111111111,0.09377553401457567,0.0
cycle,1.0,4,848,1788,48,gcn,0.513888888888889,0.05806257739197519,0.0
cycle,1.0,4,848,1788,48,sage,0.34375,0.04371006171030211,0.0
cycle,1.0,4,848,1788,48,mlp,0.5729166666666666,0.0861808461161313,0.0
cycle,2.0,0,848,1884,48,gcn,0.7,0.09437199159004268,0.0
cycle,2.0,0,848,1884,48,sage,0.5277777777777777,0.06014616950773808,0.0
cycle,2.0,0,848,1884,48,mlp,0.6520833333333333,0.24271558720101044,0.0
cycle,2.0,1,848,1884,48,gcn,0.6048611111111111,0.08442013133417198,0.0
cycle,2.0,1,848,1884,48,sage,0.6229166666666667,0.08313499594459665,0.0
cycle,2.0,1,848,1884,48,mlp,0.6097222222222223,0.07965278553231263,0.0
