topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,explainer,node,precision,recall,f1,random_expectation,lift,n_candidates,n_relevant,k
clique,0.0,1,848,1812,168,gcn,random,820,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5283018867924528,1.0816326530612244,53,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,844,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.4057971014492754,1.5841836734693877,69,28,28
clique,0.0,1,848,1812,168,gcn,grad,844,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.4057971014492754,1.4961734693877549,69,28,28
clique,0.0,1,848,1812,168,gcn,random,844,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.4057971014492754,0.9681122448979591,69,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,813,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.717948717948718,0.9451530612244898,39,28,28
clique,0.0,1,848,1812,168,gcn,grad,813,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.717948717948718,0.9948979591836735,39,28,28
clique,0.0,1,848,1812,168,gcn,random,813,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.717948717948718,0.9948979591836735,39,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,840,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5957446808510638,0.9591836734693877,47,28,28
clique,0.0,1,848,1812,168,gcn,grad,840,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5957446808510638,1.0191326530612244,47,28,28
clique,0.0,1,848,1812,168,gcn,random,840,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5957446808510638,0.9591836734693877,47,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,810,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.7,0.8673469387755102,40,28,28
clique,0.0,1,848,1812,168,gcn,grad,810,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.7,0.9693877551020409,40,28,28
clique,0.0,1,848,1812,168,gcn,random,810,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7,0.9183673469387756,40,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,845,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5,1.2142857142857142,56,28,28
clique,0.0,1,848,1812,168,gcn,grad,845,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5,1.4285714285714286,56,28,28
clique,0.0,1,848,1812,168,gcn,random,845,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5,0.9285714285714286,56,28,28
clique,0.0,1,848,1812,168,gcn,gnnexplainer,821,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.6829268292682927,1.2028061224489794,41,28,28
clique,0.0,1,848,1812,168,gcn,grad,821,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6829268292682927,1.0459183673469388,41,28,28
