,,,,,,precision,precision,random_expectation,random_expectation,lift,lift,n_candidates,n_candidates,n_relevant,n_relevant
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std
topology,camouflage,model,explainer,detected,k_mode,,,,,,,,,,
bipartite,0.5,sage,grad,1,k3,0.5707,0.2272,0.2519,0.0865,2.7253,1.8679,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,grad,1,k5,0.5424,0.1363,0.2519,0.0865,2.5802,1.5806,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,grad,1,oracle,0.4179,0.1035,0.2519,0.0865,1.9964,1.2225,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,ig,0,k1,0.6286,0.4867,0.2342,0.0896,3.094,2.9797,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,ig,0,k10,0.47,0.1267,0.2342,0.0896,2.4294,1.4112,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,ig,0,k20,0.4293,0.0853,0.2342,0.0896,2.2004,1.1167,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,ig,0,k3,0.6,0.2512,0.2342,0.0896,3.0311,2.0712,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,ig,0,k5,0.5457,0.127,0.2342,0.0896,2.7962,1.4801,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,ig,0,oracle,0.4447,0.0939,0.2342,0.0896,2.2851,1.1699,81.3429,36.2918,16.0571,0.2338
bipartite,0.5,sage,ig,1,k1,0.56,0.4984,0.2519,0.0865,2.6093,2.8209,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,ig,1,k10,0.448,0.109,0.2519,0.0865,2.1695,1.3998,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,ig,1,k20,0.406,0.1007,0.2519,0.0865,1.9311,1.1651,75.056,36.6448,16.048,0.2494
bipartite,0.5,sage,ig,1,k3,0.5707,0.2272,0.2519,0.0865,2.7253,1.8679,75.056,36.6448,16.048,0.2494
